Job id            Name             User              Time Use S Queue
337677.mgmt1      W5-176           jwin1641                 0 Q compute         
337678.mgmt1      W5-177           jwin1641                 0 Q compute         
337679.mgmt1      W5-178           jwin1641                 0 Q compute         
337680.mgmt1      W5-179           jwin1641                 0 Q compute         
337681.mgmt1      W5-180           jwin1641                 0 Q compute         
337682.mgmt1      W5-181           jwin1641                 0 Q compute         
337683.mgmt1      W5-182           jwin1641                 0 Q compute         
337684.mgmt1      W5-183           jwin1641                 0 Q compute         
337685.mgmt1      W5-184           jwin1641                 0 Q compute         
337686.mgmt1      W5-185           jwin1641                 0 Q compute         
337687.mgmt1      W5-186           jwin1641                 0 Q compute         
337688.mgmt1      W5-187           jwin1641                 0 Q compute         
337689.mgmt1      W5-188           jwin1641                 0 Q compute         
337690.mgmt1      W5-189           jwin1641                 0 Q compute         
337691.mgmt1      W5-190           jwin1641                 0 Q compute         
337692.mgmt1      W5-191           jwin1641                 0 Q compute         
337693.mgmt1      W5-192           jwin1641                 0 Q compute         
337694.mgmt1      W5-193           jwin1641                 0 Q compute         
337695.mgmt1      W5-194           jwin1641                 0 Q compute         
337696.mgmt1      W5-195           jwin1641                 0 Q compute         
337697.mgmt1      W5-196           jwin1641                 0 Q compute         
337698.mgmt1      W5-197           jwin1641                 0 Q compute         
337699.mgmt1      W5-198           jwin1641                 0 Q compute         
337700.mgmt1      W5-199           jwin1641                 0 Q compute         
337701.mgmt1      W5-200           jwin1641                 0 Q compute         
337702.mgmt1      W5-201           jwin1641                 0 Q compute         
337703.mgmt1      W5-202           jwin1641                 0 Q compute         
337704.mgmt1      W5-203           jwin1641                 0 Q compute         
337705.mgmt1      W5-204           jwin1641                 0 Q compute         
337706.mgmt1      W5-205           jwin1641                 0 Q compute         
337707.mgmt1      W5-206           jwin1641                 0 Q compute         
337708.mgmt1      W5-207           jwin1641                 0 Q compute         
337709.mgmt1      W5-208           jwin1641                 0 Q compute         
337710.mgmt1      W5-209           jwin1641                 0 Q compute         
337711.mgmt1      W5-210           jwin1641                 0 Q compute         
337712.mgmt1      W5-211           jwin1641                 0 Q compute         
337713.mgmt1      W5-212           jwin1641                 0 Q compute         
337714.mgmt1      W5-213           jwin1641                 0 Q compute         
337715.mgmt1      W5-214           jwin1641                 0 Q compute         
337716.mgmt1      W5-215           jwin1641                 0 Q compute         
337717.mgmt1      W5-216           jwin1641                 0 Q compute         
337718.mgmt1      W5-217           jwin1641                 0 Q compute         
337719.mgmt1      W5-218           jwin1641                 0 Q compute         
337720.mgmt1      W5-219           jwin1641                 0 Q compute         
337721.mgmt1      W5-220           jwin1641                 0 Q compute         
337722.mgmt1      W5-221           jwin1641                 0 Q compute         
337723.mgmt1      W5-222           jwin1641                 0 Q compute         
337724.mgmt1      W5-223           jwin1641                 0 Q compute         
337725.mgmt1      W5-224           jwin1641                 0 Q compute         
337726.mgmt1      W5-225           jwin1641                 0 Q compute         
337727.mgmt1      W5-226           jwin1641                 0 Q compute         
337728.mgmt1      W5-227           jwin1641                 0 Q compute         
337729.mgmt1      W5-228           jwin1641                 0 Q compute         
337730.mgmt1      W5-229           jwin1641                 0 Q compute         
337731.mgmt1      W5-230           jwin1641                 0 Q compute         
337732.mgmt1      W5-231           jwin1641                 0 Q compute         
337733.mgmt1      W5-232           jwin1641                 0 Q compute         
337734.mgmt1      W5-233           jwin1641                 0 Q compute         
337735.mgmt1      W5-234           jwin1641                 0 Q compute         
337736.mgmt1      W5-235           jwin1641                 0 Q compute         
337737.mgmt1      W5-236           jwin1641                 0 Q compute         
337738.mgmt1      W5-237           jwin1641                 0 Q compute         
337739.mgmt1      W5-238           jwin1641                 0 Q compute         
337740.mgmt1      W5-239           jwin1641                 0 Q compute         
337741.mgmt1      W5-240           jwin1641                 0 Q compute         
337742.mgmt1      W5-241           jwin1641                 0 Q compute         
337743.mgmt1      W5-242           jwin1641                 0 Q compute         
337744.mgmt1      W5-243           jwin1641                 0 Q compute         
